id_municipio_y_cabeceraDF,nombre_estado,abreviatura,cabecera_distrital_local,seccion,tipo
1,CAMPECHE,CAMP.,XPUJIL,359,R
1,CAMPECHE,CAMP.,XPUJIL,360,R
1,CAMPECHE,CAMP.,XPUJIL,362,R
1,CAMPECHE,CAMP.,XPUJIL,413,R
1,CAMPECHE,CAMP.,XPUJIL,414,R
1,CAMPECHE,CAMP.,XPUJIL,415,R
1,CAMPECHE,CAMP.,XPUJIL,416,R
1,CAMPECHE,CAMP.,XPUJIL,417,M
1,CAMPECHE,CAMP.,XPUJIL,418,R
1,CAMPECHE,CAMP.,XPUJIL,419,R
1,CAMPECHE,CAMP.,XPUJIL,420,R
1,CAMPECHE,CAMP.,XPUJIL,421,R
1,CAMPECHE,CAMP.,XPUJIL,422,R
1,CAMPECHE,CAMP.,XPUJIL,423,R
1,CAMPECHE,CAMP.,XPUJIL,424,R
1,CAMPECHE,CAMP.,XPUJIL,425,R
1,CAMPECHE,CAMP.,XPUJIL,426,R
1,CAMPECHE,CAMP.,XPUJIL,427,R
2,CAMPECHE,CAMP.,CALKINI,147,M
2,CAMPECHE,CAMP.,CALKINI,148,U
2,CAMPECHE,CAMP.,CALKINI,149,U
2,CAMPECHE,CAMP.,CALKINI,150,U
2,CAMPECHE,CAMP.,CALKINI,151,U
2,CAMPECHE,CAMP.,CALKINI,152,M
2,CAMPECHE,CAMP.,CALKINI,153,M
2,CAMPECHE,CAMP.,CALKINI,154,U
2,CAMPECHE,CAMP.,CALKINI,155,U
2,CAMPECHE,CAMP.,CALKINI,156,U
2,CAMPECHE,CAMP.,CALKINI,159,U
2,CAMPECHE,CAMP.,CALKINI,160,M
2,CAMPECHE,CAMP.,CALKINI,161,U
2,CAMPECHE,CAMP.,CALKINI,162,U
2,CAMPECHE,CAMP.,CALKINI,163,U
2,CAMPECHE,CAMP.,CALKINI,164,U
2,CAMPECHE,CAMP.,CALKINI,169,R
2,CAMPECHE,CAMP.,CALKINI,172,R
2,CAMPECHE,CAMP.,CALKINI,173,U
2,CAMPECHE,CAMP.,CALKINI,174,M
2,CAMPECHE,CAMP.,CALKINI,175,U
